ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
Bee	Is a bee an insect?	yes	easy	easy	data/set1/a8
Bee	Are bees related to ants?	yes	easy	hard	data/set1/a8
Bee	Have managed populations of European honey bees experienced substantial declines?	yes	easy	easy	data/set1/a8
Bee	Where do bees live?	in colonies	medium	medium	data/set1/a8
Bee	When do bumblebee colonies reach peak population?	mid to late summer	medium	medium	data/set1/a8
Bee	What do people commonly call cleptoparasitic bees?	cuckoo bees	medium	medium	data/set1/a8
Bee	How did vespoid wasps evolve?	from predatory ancestors	hard	medium	data/set1/a8
Bee	What do humans use bees for?	honey	hard	hard	data/set1/a8
Bee	Why do honey bee queens continue to lay eggs during the foraging season?	to replace daily casualties	hard	hard	data/set1/a8
Beijing	Does Beijing mean "northern capital"?	yes	easy	easy	data/set3/a7
Beijing	Are the caves of Dragon Bone Hill near the village of Zhoukoudian in Fangshan District?	yes	easy	easy	data/set3/a7
Beijing	Are hutongs disappearing?	yes	easy	easy	data/set3/a7
Beijing	When did Beijing host the Olympic Games?	2008	medium	medium	data/set3/a7
Beijing	When was the An Shi Rebellion launched?	in 755 AD	medium	medium	data/set3/a7
Beijing	In 1949, where did Communist forces enter without a fight?	Beiping	medium	medium	data/set3/a7
Beijing	When did Yuan Shikai die?	1916	hard	too hard	data/set3/a7
Beijing	Where does air pollution in Beijing come from?	surrounding cities and provinces	hard	medium	data/set3/a7
Beijing	As of August 1st, 2006, how many trains stop daily at the Beijing Railway Station or the Beijing West Railway Station?	167	hard	medium	data/set3/a7
Beijing	What is the name of a university (or similar institution for imparting higher education) in Beijing?	Tsinghua University	NULL	hard	data/set3/a7
Beijing	Are famous middle  schools  in Beijing :?	Yes	NULL	easy	data/set3/a7
Copenhagen	Copenhagen is the capital of what country?	Denmark	easy	easy	data/set3/a8
Copenhagen	Copenhagen is the capital of what country?	Denmark	easy	medium	data/set3/a8
Copenhagen	What is the population of Copenhagen?	1,161,063	easy	medium	data/set3/a8
Copenhagen	What is the population of Copenhagen?	1,153,615	easy	hard	data/set3/a8
Copenhagen	What transnational bridge was completed in 2000?	Oresund Bridge	easy	medium	data/set3/a8
Copenhagen	What transnational bridge was completed in 2000?	Oresund Bridge	easy	hard	data/set3/a8
Copenhagen	Why is Copenhagen a regional hub?	Its strategic location and excellent infrastructure	medium	hard	data/set3/a8
Copenhagen	Why is Copenhagen a regional hub?	Its strategic location and excellent infrastructure with the largest airport in Scandinavia[6] located 14 minutes by train from the city centre	medium	hard	data/set3/a8
Copenhagen	What happened to Copenhagen between 1251 and 1255?	a bunch of things	medium	too hard	data/set3/a8
Copenhagen	Is Copenhagen completely surrounded with water? 	No	medium	hard	data/set3/a8
Copenhagen	Copenhagen is ranked number one worldwide for which things?	Most Livable City in the World, 	hard	too hard	data/set3/a8
Copenhagen	Copenhagen is ranked number one worldwide for which things?	Most Livable City, Location Ranking Survey	hard	too hard	data/set3/a8
Copenhagen	Why did German troops occupy Copenhagen?	Because it was WW2	hard	too hard	data/set3/a8
Dhaka	Is Dhaka the capital of Bangladesh?	Yes	easy	easy	data/set3/a3
Dhaka	Is Dhaka located on the eastern banks of the Buriganga River?	Yes	easy	medium	data/set3/a3
Dhaka	Is University of Dhaka the largest public university in Dhaka?	Yes	easy	hard	data/set3/a3
Dhaka	How much area does Dhaka cover?	1462.60 square kilometers	medium	medium	data/set3/a3
Dhaka	How many people did the 1970 Bhola cyclone kill?	500,000	medium	medium	data/set3/a3
Dhaka	When is the end of the independence war of Bangladesh?	December 16, 1971	medium	hard	data/set3/a3
Dhaka	Did the Mughals arrive in Dhaka?	Yes	hard	medium	data/set3/a3
Dhaka	Is University of Dhaka older than the Dhaka College?	No	hard	hard	data/set3/a3
English_language	What is given for the number of native speakers?	No figure is given for the number of native speakers.	NULL	hard	data/set5/a1
English_language	Is english an intonation  language?	Yes	NULL	easy	data/set5/a1
English_language	Is english a de  jure  official  language  of Israel?	no	NULL	easy	data/set5/a1
English_language	Is the stressed  syllable called the nuclear  syllable?	yes	NULL	easy	data/set5/a1
English_language	Does english grammar have minimal inflection?	Yes	NULL	easy	data/set5/a1
English_language	Did old English develop into Middle English?	Yes	NULL	easy	data/set5/a1
English_language	Are books, magazines, and newspapers written in English available?	yes	NULL	easy	data/set5/a1
English_language	Is the syntax of German different with different rules?	yes	NULL	easy	data/set5/a1
English_language	Is it true that semantics causes a number of false friends?	true	NULL	easy	data/set5/a1
English_language	Here , are all syllables unstressed , except the syllables/words best and done , which are stressed ?	yes	NULL	easy	data/set5/a1
English_language	Are many words describing the navy , types of ships , and other objects or activities on the water of dutch origin ?	yes	NULL	easy	data/set5/a1
English_language	Are local variations in the formal written version of the language quite limited , being restricted largely to the spelling differences between British and American English ?	yes	NULL	easy	data/set5/a1
Fox	Are foxes wary of humans?	Yes	easy	easy	data/set1/a6
Fox	Are foxes wary of humans?	Yes	easy	easy	data/set1/a6
Fox	Are fennec foxes endangered?	no	easy	easy	data/set1/a6
Fox	Are fennec foxes endangered?	No	easy	easy	data/set1/a6
Fox	Does the diet of foxes include reptiles?	yes	easy	easy	data/set1/a6
Fox	Does the diet of foxes include reptiles?	Yes	easy	easy	data/set1/a6
Fox	How long do most foxes live?	Most foxes live 2 to 3 years, but they can survive for up to 10 years or even longer in captivity.	medium	medium	data/set1/a6
Fox	How long do most foxes live?	2 to 3 years	medium	medium	data/set1/a6
Fox	In what country did fox hunting originate?	the United Kingdom	medium	medium	data/set1/a6
Fox	In what country did fox hunting originate?	in the United Kingdom	medium	medium	data/set1/a6
Fox	What is the smallest species of fox?	The Fennec Fox is the smallest species of fox. 	medium	medium	data/set1/a6
Fox	What is the smallest species of fox?	the Fennec Fox	medium	medium	data/set1/a6
Fox	What are female foxes called?	vixens	hard	medium	data/set1/a6
Fox	What are female foxes called?	vixens	hard	medium	data/set1/a6
Fox	What is caching food?	Caching is burying it for later consumption, usually under leaves, snow, or soil.	hard	hard	data/set1/a6
Fox	What is caching food?	burying it for later consumption	hard	hard	data/set1/a6
Fox	Do foxes damage fruit on farms?	No	hard	hard	data/set1/a6
French_language	How many years ago did African people spread across 31 francophone African countries can speak French either as a first or second language?	2 years ago	NULL	hard	data/set5/a5
French_language	In Old French, was the plural  for animal animals?	Yes	NULL	easy	data/set5/a5
French_language	Is catalan the only  official  language  of Andorra?	Yes	NULL	easy	data/set5/a5
French_language	In Belgium, however, is quatre-vingts universally used?	Yes	NULL	easy	data/set5/a5
French_language	Where is it an official language?	NULL	NULL	NULL	data/set5/a5
French_language	Is french taught in many schools as a primary language along with Arabic?	Yes	NULL	easy	data/set5/a5
French_language	What is widely used by the Lebanese, especially for administrative purposes?	French	NULL	medium	data/set5/a5
French_language	Is french descendant of the Latin language?	Yes	NULL	easy	data/set5/a5
French_language	Are there also a variety of regional languages In addition?	Yes	NULL	medium	data/set5/a5
French_language	Is it true that france signed the European Charter for Regional Languages?	Yes	NULL	easy	data/set5/a5
French_language	France signed the European Charter for what?	NULL	NULL	NULL	data/set5/a5
French_language	Is french language of 20  %?	NULL	NULL	NULL	data/set5/a5
French_language	Is French language of Wallonia?	NULL	NULL	NULL	data/set5/a5
French_language	Are the prefixes en- and em- always nasalized ?	Yes	NULL	easy	data/set5/a5
French_language	Are French and German not official languages nor recognised minority languages in the flemish region , although there are a dozen municipalities with language facilities for French-speakers ?	NULL	NULL	NULL	data/set5/a5
French_language	Can the palatal nasal occur in word initial position ( e.g ?	NULL	NULL	NULL	data/set5/a5
German_language	How many years ago was the Luther Bible by Martin Luther printed?	475	NULL	hard	data/set5/a2
German_language	Is german an inflected  language?	yes	NULL	easy	data/set5/a2
German_language	In Switzerland, is ß used at all?	no	NULL	easy	data/set5/a2
German_language	Are there two common  word  orders?	yes	NULL	easy	data/set5/a2
German_language	Are feminines declined in the singular?	no	NULL	easy	data/set5/a2
German_language	Is 9 %  of the Internet  population German?	no	NULL	easy	data/set5/a2
German_language	Is german written using the Latin  alphabet?	Yes	NULL	easy	data/set5/a2
German_language	Was the Luther Bible by Martin Luther printed?	Yes	NULL	easy	data/set5/a2
German_language	Does a  tz indicate that the preceding vowel is short?	no	NULL	easy	data/set5/a2
German_language	Are there 622,650 speakers of German In Canada?	Yes	NULL	easy	data/set5/a2
German_language	Are there also large populations of German ancestry In Mexico?	yes	NULL	medium	data/set5/a2
German_language	Would Bundesländer not accept North Rhine Westphalia and Bavaria ?	yes	NULL	easy	data/set5/a2
German_language	Have adverbs of time to appear in the third place in the sentence , just after the predicate ?	Yes	NULL	easy	data/set5/a2
Giraffe	Do both sexes of giraffe have horns?	Yes	easy	easy	data/set1/a5
Giraffe	Do both sexes of giraffe have horns?	yes	easy	easy	data/set1/a5
Giraffe	Do giraffes give birth standing up?	Yes	easy	easy	data/set1/a5
Giraffe	Do giraffes give birth standing up?	yes	easy	medium	data/set1/a5
Giraffe	Are giraffes hunted for their hides?	Yes	easy	easy	data/set1/a5
Giraffe	Are giraffes hunted for their hides?	Yes	easy	easy	data/set1/a5
Giraffe	What areas can giraffes inhabit?	savannas, grasslands, or open woodlands	medium	medium	data/set1/a5
Giraffe	What areas can giraffes inhabit?	inhabit savannas, grasslands, or open woodlands	medium	easy	data/set1/a5
Giraffe	What will a giraffe use to clean off any bugs that appear on its face?	extremely long tongue 	medium	medium	data/set1/a5
Giraffe	What will a giraffe use to clean off any bugs that appear on its face?	It's extremely long tongue	medium	easy	data/set1/a5
Giraffe	How do giraffes defend themselves?	with a powerful kick	medium	medium	data/set1/a5
Giraffe	How do giraffes defend themselves?	With powerful kicks	medium	easy	data/set1/a5
Giraffe	Do male giraffes weigh more than female giraffes?	Yes	hard	medium	data/set1/a5
Giraffe	Do male giraffes weigh more than female giraffes?	yes	hard	hard	data/set1/a5
Giraffe	Do male giraffes have larger horns than female giraffes?	Yes	hard	medium	data/set1/a5
Giraffe	Do male giraffes have larger horns than female giraffes?	Yes	hard	medium	data/set1/a5
Giraffe	Are male females generally taller than female giraffes?	Yes	hard	medium	data/set1/a5
Italian_language	What was Italian language`s profession?	NULL	NULL	NULL	data/set5/a9
Italian_language	What is Italian language`s first name?	NULL	NULL	NULL	data/set5/a9
Italian_language	What is Italian language`s last name?	NULL	NULL	NULL	data/set5/a9
Italian_language	How many offspring did Italian language have?	NULL	NULL	NULL	data/set5/a9
Italian_language	Where did Italian language die?	NULL	NULL	NULL	data/set5/a9
Italian_language	Are geminate plosives and affricates realised as lengthened closures?	NULL	NULL	NULL	data/set5/a9
Italian_language	Where is this letter silent?	NULL	NULL	NULL	data/set5/a9
Italian_language	Is Italian one of official four languages?	NULL	NULL	NULL	data/set5/a9
Italian_language	Is it true that legge sulle fonti del diritto of 7?	NULL	NULL	NULL	data/set5/a9
Italian_language	Legge sulle fonti del diritto of what?	NULL	NULL	NULL	data/set5/a9
Italian_language	Is it true that Italian retained the contrast between short consonants?	NULL	NULL	NULL	data/set5/a9
Italian_language	Italian retained the contrast between what?	NULL	NULL	NULL	data/set5/a9
Italian_language	Is stress distinctive in most Romance languages?	NULL	NULL	NULL	data/set5/a9
Italian_language	Are the speakers who use italian as a second or cultural language estimated at around 110-120 million ?	NULL	NULL	NULL	data/set5/a9
Italian_language	Are front/back vowel rules for C and G similar in French , Romanian , Spanish , and to some extent English ?	NULL	NULL	NULL	data/set5/a9
Italian_language	So can Italian language hear "istànbul " or "Ìstanbul" ?	NULL	NULL	NULL	data/set5/a9
Italian_language	Will , the vowel sounds be pronounced separately) ?	NULL	NULL	NULL	data/set5/a9
Italian_language	Can Regional differences be recognized by various factors : the openness of vowels , the length of the consonants , and influence of the local dialect ?	NULL	NULL	NULL	data/set5/a9
Italian_language	Give dictionaries the latter as an alternative pronunciation ?	NULL	NULL	NULL	data/set5/a9
Japanese_language	What was Japanese language`s profession?	NULL	NULL	NULL	data/set5/a6
Japanese_language	What is Japanese language`s first name?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Is the basic sentence structure topic-comment?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Where are the circumstances complicated?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Does the   form indicate a perfect tense?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Is or a conception that forms the counterpart of dialect?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Do most Japanese people employ politeness?	yes	NULL	easy	data/set5/a6
Japanese_language	Is it true that Japanese borrowed a considerable number of words?	yes	NULL	easy	data/set5/a6
Japanese_language	Japanese borrowed a considerable number of what?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Is japanese language in the island?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Is there a form of the language?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Are the several dialects of Kagoshima famous to speakers?	yes	NULL	medium	data/set5/a6
Japanese_language	I.e "yamato words ") , which in scholarly contexts is sometimes referred to as ( or rarely , i.e "yamato words " -rrb- , which in scholarly contexts is sometimes referred to as -lrb- or rarely , vp ? ?	NULL	NULL	NULL	data/set5/a6
Japanese_language	Are japanese personal pronouns generally used only in situations requiring special emphasis as to who is doing what to whom ?	NULL	NULL	NULL	data/set5/a6
